parent_location_name,location_name,current_emergency_department_name,emergency_department_current_care_area,last_update,encounter_count
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 23:10:51,31
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 20:30:06,39
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 22:02:07,23
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 23:28:17,38
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 22:16:25,31
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 21:08:53,38
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 23:01:35,23
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 22:12:06,31
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 21:44:31,26
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 23:01:20,18
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 21:37:33,11
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 20:14:55,18
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 21:07:05,25
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 23:16:30,10
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 21:18:40,33
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 21:57:06,23
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 20:04:36,45
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 20:31:24,23
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 20:43:53,22
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 22:44:38,13
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 20:05:12,37
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 23:36:25,30
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 23:02:53,2
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 23:26:38,37
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 22:46:48,28
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 21:57:46,31
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 23:46:53,41
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 21:55:29,30
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 23:01:27,8
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 20:39:54,6
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 20:17:18,26
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 23:08:01,19
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 22:40:57,5
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 23:11:55,6
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 20:06:55,22
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 22:07:08,25
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 22:53:40,29
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 21:29:47,34
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 21:16:07,8
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 23:53:59,23
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 20:03:26,40
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 22:33:59,18
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 21:51:12,21
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 21:19:33,35
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 23:15:41,38
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 19:59:30,11
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 23:03:31,37
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 20:37:26,37
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 22:46:14,20
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 20:28:15,29
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 23:57:17,24
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 20:00:32,35
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 22:20:58,10
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 22:29:11,34
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 23:44:26,19
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 20:23:36,43
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 23:54:16,27
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 23:05:05,38
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 20:54:28,20
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 22:47:14,5
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 22:00:42,22
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 20:13:52,20
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 20:59:17,29
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 22:03:33,15
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 22:23:16,3
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 20:23:00,5
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 21:12:26,12
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 20:36:22,39
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 21:26:35,24
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 21:23:02,33
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 23:46:09,37
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 21:48:45,15
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 22:21:24,6
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 21:30:18,29
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 23:53:20,35
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 21:07:47,41
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 20:25:51,22
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 20:06:02,26
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 21:00:02,18
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 22:27:11,40
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 23:18:17,12
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 22:33:07,17
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 23:21:58,11
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 22:12:48,22
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 22:18:20,2
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 20:10:00,45
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 23:27:16,15
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 21:11:07,2
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 23:24:30,14
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 20:42:45,13
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 22:37:58,43
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 20:23:03,43
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 22:57:38,29
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 20:57:51,10
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 20:16:50,43
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 21:49:03,13
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 22:08:46,27
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 21:42:58,7
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 23:15:39,38
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 21:55:31,36
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 23:00:02,40
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 22:51:35,38
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 21:37:35,22
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 22:11:08,27
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 21:59:07,34
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 23:01:54,26
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 21:34:04,41
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 22:13:25,45
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 20:11:15,37
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 23:11:20,21
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 21:39:36,2
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 20:51:38,14
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 21:57:52,42
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 20:08:06,16
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 23:23:50,16
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 21:32:29,12
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 23:53:45,27
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 22:57:33,34
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 20:26:08,30
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 20:58:29,13
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 20:05:31,8
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 20:39:39,33
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 20:47:58,37
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 21:54:58,38
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 21:58:27,11
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 22:48:01,13
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 22:49:52,44
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 22:33:50,4
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 21:06:08,19
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 22:06:38,27
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 23:12:47,24
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 21:10:47,44
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 21:47:27,27
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 23:57:00,29
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 23:39:21,38
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 22:38:00,23
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 21:48:46,11
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 20:42:49,37
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 22:11:13,5
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 19:58:39,11
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 23:35:36,40
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 23:14:46,32
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 21:24:36,24
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 23:16:23,6
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 19:58:39,24
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 21:44:47,24
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 20:20:49,36
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 21:55:02,21
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 20:26:15,37
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 20:46:50,6
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 22:17:11,8
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 21:31:11,44
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 20:14:12,43
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 21:42:03,14
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 20:31:43,42
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 23:25:24,20
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 21:27:25,20
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 21:19:56,39
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 22:58:04,23
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 21:17:58,15
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 21:04:17,21
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 22:48:55,42
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 21:30:58,39
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 23:19:35,21
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 23:08:18,33
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 22:51:26,5
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 21:52:45,6
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 22:49:54,11
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 20:51:20,31
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 21:46:23,38
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 21:58:25,6
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 20:03:39,18
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 22:36:57,43
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 21:48:06,1
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 19:59:24,41
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 21:11:55,39
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 21:56:26,40
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 23:04:56,27
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 20:27:12,39
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 22:58:29,11
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 23:32:41,42
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 22:28:35,35
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 22:19:01,38
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 22:16:58,17
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 21:45:20,42
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 20:24:15,30
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 23:48:15,35
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 20:48:21,29
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 23:56:48,11
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 22:04:26,23
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 23:46:23,29
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 22:57:49,8
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 23:22:41,10
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 22:30:57,11
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 20:38:07,19
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 22:43:18,37
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 20:06:36,1
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 23:10:32,2
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 21:33:16,21
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 23:17:29,39
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 21:41:34,7
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 23:21:25,31
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 21:00:12,34
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 20:26:34,26
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 23:41:40,13
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 19:59:55,11
